flyTime,localTime,windSpeed
31.7,5:58:20.60 PM,0.1966976
31.8,5:58:20.70 PM,0.1966976
31.9,5:58:20.80 PM,0.1966976
32.0,5:58:20.90 PM,0.1966976
32.1,5:58:21.00 PM,0.1966976
32.2,5:58:21.10 PM,0.0983488
32.3,5:58:21.20 PM,0.0983488
32.4,5:58:21.30 PM,0.0983488
32.5,5:58:21.40 PM,0.0983488
32.6,5:58:21.46 PM,0.0983488
32.7,5:58:21.56 PM,0.0983488
32.8,5:58:21.66 PM,0.0983488
32.9,5:58:21.80 PM,0.0983488
33.0,5:58:21.87 PM,0.0983488
33.1,5:58:22.00 PM,0.0983488
33.2,5:58:22.07 PM,0.0983488
33.3,5:58:22.18 PM,0.0983488
33.4,5:58:22.28 PM,0.0983488
33.5,5:58:22.39 PM,0.1966976
33.6,5:58:22.49 PM,0.1966976
33.7,5:58:22.59 PM,0.1966976
33.8,5:58:22.69 PM,0.1966976
33.9,5:58:22.79 PM,0.1966976
34.0,5:58:22.89 PM,0.1966976
34.1,5:58:23.00 PM,0.1966976
34.2,5:58:23.10 PM,0.1966976
34.3,5:58:23.21 PM,0.1966976
34.4,5:58:23.31 PM,0.1966976
34.5,5:58:23.41 PM,0.1966976
34.6,5:58:23.51 PM,0.1966976
34.7,5:58:23.61 PM,0.1966976
34.8,5:58:23.72 PM,0.1966976
34.9,5:58:23.82 PM,0.1966976
35.0,5:58:23.92 PM,0.1966976
35.1,5:58:24.02 PM,0.1966976
35.2,5:58:24.13 PM,0.1966976
35.3,5:58:24.23 PM,0.0983488
35.4,5:58:24.33 PM,0.0983488
35.5,5:58:24.40 PM,0.0983488
35.6,5:58:24.50 PM,0.0983488
35.7,5:58:24.60 PM,0.0983488
35.8,5:58:24.70 PM,0.0983488
35.9,5:58:24.80 PM,0.0983488
36.0,5:58:24.90 PM,0.0983488
36.1,5:58:25.00 PM,0.0983488
36.2,5:58:25.10 PM,0.0983488
36.3,5:58:25.20 PM,0.0
36.4,5:58:25.26 PM,0.0
36.5,5:58:25.36 PM,0.0
36.6,5:58:25.50 PM,0.0
36.7,5:58:25.57 PM,0.0
36.8,5:58:25.67 PM,0.0
36.9,5:58:25.80 PM,0.0
37.0,5:58:25.88 PM,0.0
37.1,5:58:26.00 PM,0.0
37.2,5:58:26.08 PM,0.0
37.3,5:58:26.18 PM,0.0
37.4,5:58:26.29 PM,0.0
37.5,5:58:26.39 PM,0.0
37.6,5:58:26.49 PM,0.0
37.7,5:58:26.60 PM,0.0
37.8,5:58:26.70 PM,0.0983488
37.9,5:58:26.80 PM,0.0983488
38.0,5:58:26.91 PM,0.0983488
38.1,5:58:27.01 PM,0.0983488
38.2,5:58:27.11 PM,0.0983488
38.3,5:58:27.22 PM,0.0983488
38.4,5:58:27.32 PM,0.0
38.5,5:58:27.42 PM,0.0
38.6,5:58:27.53 PM,0.0
38.7,5:58:27.63 PM,0.0
38.8,5:58:27.73 PM,0.0
38.9,5:58:27.83 PM,0.0
39.0,5:58:27.93 PM,0.0
39.1,5:58:28.04 PM,0.0
39.2,5:58:28.10 PM,0.0
39.3,5:58:28.20 PM,0.0
39.4,5:58:28.30 PM,0.0
39.5,5:58:28.40 PM,0.0
39.6,5:58:28.50 PM,0.0
39.7,5:58:28.60 PM,0.0
39.8,5:58:28.70 PM,0.0
39.9,5:58:28.80 PM,0.0
40.0,5:58:28.90 PM,0.0
40.1,5:58:29.00 PM,0.0
40.2,5:58:29.06 PM,0.0
40.3,5:58:29.20 PM,0.0
40.4,5:58:29.30 PM,0.0
40.5,5:58:29.37 PM,0.0
40.6,5:58:29.50 PM,0.0
40.7,5:58:29.60 PM,0.0
40.8,5:58:29.68 PM,0.0
40.9,5:58:29.78 PM,0.0
41.0,5:58:29.88 PM,0.0
41.1,5:58:29.98 PM,0.0
41.2,5:58:30.08 PM,0.0
41.3,5:58:30.19 PM,0.0
41.4,5:58:30.29 PM,0.0
41.5,5:58:30.40 PM,0.0
41.6,5:58:30.50 PM,0.0
41.7,5:58:30.60 PM,0.0
41.8,5:58:30.70 PM,0.0
41.9,5:58:30.80 PM,0.0
42.0,5:58:30.91 PM,0.0
42.1,5:58:31.02 PM,0.0
42.2,5:58:31.12 PM,0.0
42.3,5:58:31.23 PM,0.0
42.4,5:58:31.33 PM,0.0
42.5,5:58:31.43 PM,0.0
42.6,5:58:31.50 PM,0.0
42.7,5:58:31.60 PM,0.0
42.8,5:58:31.70 PM,0.0
42.9,5:58:31.80 PM,0.0
43.0,5:58:31.90 PM,0.0
43.1,5:58:32.00 PM,0.0
43.2,5:58:32.10 PM,0.0
43.3,5:58:32.20 PM,0.0
43.4,5:58:32.30 PM,0.0
43.5,5:58:32.40 PM,0.0
43.6,5:58:32.50 PM,0.0
43.7,5:58:32.56 PM,0.0
43.8,5:58:32.70 PM,0.0
43.9,5:58:32.77 PM,0.0
44.0,5:58:32.87 PM,0.0
44.1,5:58:32.98 PM,0.0
44.2,5:58:33.08 PM,0.0
44.3,5:58:33.19 PM,0.0
44.4,5:58:33.29 PM,0.0
44.5,5:58:33.39 PM,0.0
44.6,5:58:33.50 PM,0.0
44.7,5:58:33.60 PM,0.0
44.8,5:58:33.70 PM,0.0
44.9,5:58:33.81 PM,0.0
45.0,5:58:33.91 PM,0.0
45.1,5:58:34.01 PM,0.0
45.2,5:58:34.11 PM,0.0
45.3,5:58:34.22 PM,0.0983488
45.4,5:58:34.33 PM,0.0983488
45.5,5:58:34.43 PM,0.0983488
45.6,5:58:34.50 PM,0.0983488
45.7,5:58:34.63 PM,0.0983488
45.8,5:58:34.70 PM,0.0983488
45.9,5:58:34.80 PM,0.0983488
46.0,5:58:34.90 PM,0.1966976
46.1,5:58:35.00 PM,0.1966976
46.2,5:58:35.10 PM,0.1966976
46.3,5:58:35.20 PM,0.1966976
46.4,5:58:35.30 PM,0.1966976
46.5,5:58:35.40 PM,0.1966976
46.6,5:58:35.50 PM,0.1966976
46.7,5:58:35.60 PM,0.1966976
46.8,5:58:35.66 PM,0.1966976
46.9,5:58:35.76 PM,0.1966976
47.0,5:58:35.90 PM,0.1966976
47.1,5:58:35.97 PM,0.1966976
47.2,5:58:36.07 PM,0.1966976
47.3,5:58:36.17 PM,0.1966976
47.4,5:58:36.28 PM,0.1966976
47.5,5:58:36.38 PM,0.1966976
47.6,5:58:36.48 PM,0.1966976
47.7,5:58:36.58 PM,0.1966976
47.8,5:58:36.69 PM,0.1966976
47.9,5:58:36.79 PM,0.1966976
48.0,5:58:36.89 PM,0.1966976
48.1,5:58:36.99 PM,0.1966976
48.2,5:58:37.10 PM,0.1966976
48.3,5:58:37.20 PM,0.1966976
48.4,5:58:37.30 PM,0.1966976
48.5,5:58:37.41 PM,0.1966976
48.6,5:58:37.51 PM,0.1966976
48.7,5:58:37.61 PM,0.1966976
48.8,5:58:37.71 PM,0.1966976
48.9,5:58:37.81 PM,0.1966976
49.0,5:58:37.92 PM,0.1966976
49.1,5:58:38.02 PM,0.1966976
49.2,5:58:38.12 PM,0.1966976
49.3,5:58:38.22 PM,0.1966976
49.4,5:58:38.33 PM,0.1966976
49.5,5:58:38.40 PM,0.1966976
49.6,5:58:38.50 PM,0.1966976
