0.903947,214141,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.82   23.62
0.903948,214141,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.82   23.62
0.903949,214141,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.82   23.62
0.90395,214141,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.82   23.62
0.903952,214141,   0.00   0.00   0.07   0.00   0.00  94.4   0.0 345.80   23.58
0.903953,214141,   0.00   0.00   0.07   0.00   0.00  94.4   0.0 345.80   23.58
0.903954,214141,   0.00   0.00   0.07   0.00   0.00  94.4   0.0 345.80   23.58
0.903955,214141,   0.00   0.00   0.10   0.00   0.11  90.0  81.0 345.78   23.56
0.903956,214141,   0.00   0.00   0.10   0.00   0.11  90.0  81.0 345.78   23.56
0.903958,214141,   0.00  -0.01   0.08   0.00   0.00  90.0   0.0 345.76   23.53
0.903959,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.90396,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.903961,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.903963,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.903964,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.903965,214142,   0.00   0.00  -0.05   0.00   0.00  90.0   0.0 345.74   23.50
0.903966,214142,   0.00   0.00   0.10   0.00   0.11 212.5  81.0 345.74   23.50
0.903967,214142,   0.00   0.00   0.10   0.00   0.11 212.5  81.0 345.74   23.50
0.903969,214142,   0.00   0.00   0.10   0.00   0.11 212.5  81.0 345.74   23.50
0.90397,214142,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903971,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903972,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903973,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903975,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903976,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903977,214143,   0.00   0.00  -0.05   0.00   0.00 212.5   0.0 345.82   23.62
0.903978,214143,   0.00   0.00  -0.05   0.00   0.00 212.5   0.0 345.82   23.62
0.90398,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903981,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903982,214143,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903983,214144,   0.00   0.00   0.07   0.00   0.00 212.5   0.0 345.80   23.58
0.903984,214144,   0.00   0.00  -0.05   0.00   0.00 212.5   0.0 345.78   23.56
0.903986,214144,   0.00   0.00  -0.05   0.00   0.00 212.5   0.0 345.78   23.56
0.903987,214144,   0.00   0.00  -0.05   0.00   0.00 212.5   0.0 345.78   23.56
0.903988,214144,   0.00   0.00   0.04   0.00   0.00 212.5   0.0 345.78   23.55
0.903989,214144,   0.03  -0.03   0.07   0.00   0.00 212.5   0.0 345.74   23.50
0.90399,214144,   0.03  -0.03   0.07   0.00   0.00 212.5   0.0 345.74   23.50
0.903992,214144,   0.03  -0.03   0.07   0.00   0.00 212.5   0.0 345.78   23.56
0.903993,214144,   0.03  -0.03   0.07   0.00   0.00 212.5   0.0 345.78   23.56
0.903994,214144,   0.03  -0.03   0.07   0.00   0.00 212.5   0.0 345.78   23.56
0.903995,214145,   0.03  -0.03   0.05   0.00   0.00 212.5   0.0 345.78   23.55
